Provincia	Poblacion	Aplicaciones
Buenos Aires	17709598	18154826
CABA	3078836	3923607
Catamarca	418991	432496
Chaco	1216247	1058949
Chubut	629181	586387
Córdoba	3798261	4150308
Corrientes	1130320	1052551
Entre Ríos	1398510	1346373
Formosa	610019	677939
Jujuy	779212	767778
La Pampa	361394	437466
La Rioja	398648	447561
Mendoza	2010363	2015877
Misiones	1274992	994031
Neuquén	672461	738013
Río Negro	757052	834246
Salta	1441988	1233902
San Juan	789489	842837
San Luis	514610	592743
Santa Cruz	374756	333544
Santa Fe	3563390	4015774
Santiago del Estero	988245	1077454
Tierra del Fuego	177697	197057
Tucumán	1714487	1685361
