circuito	x	y
"00001"	-58.37133044608939	-34.62386640239789
"00002"	-58.371833579142695	-34.61833910621546
"00003"	-58.35418176399301	-34.609714161227
"00004"	-58.36405081142842	-34.60545082989606
"00005"	-58.373970069971655	-34.58601640560036
"00006"	-58.382660876442216	-34.591785859758545
"00007"	-58.38421598446879	-34.596788179965394
"00008"	-58.376778135097894	-34.596191835164085
"00009"	-58.37473354724224	-34.60331380460151
"00010"	-58.38687942172795	-34.601664807668925
"00011"	-58.38652553332027	-34.6064253575279
"00012"	-58.38617616009028	-34.61111640004956
"00013"	-58.385962376285136	-34.61565007829269
"00014"	-58.373797254457	-34.61017397035345
"00015"	-58.37400371205053	-34.61450395262228
"00016"	-58.3782929800938	-34.62272440910364
"00017"	-58.38589662374535	-34.62013910675822
"00018"	-58.38550684525165	-34.624705358374676
"00019"	-58.38494567528717	-34.62984587416809
"00020"	-58.38917711905353	-34.57686910751801
"00021"	-58.389611979437994	-34.58751132411184
"00022"	-58.40533947071595	-34.58655271457078
"00023"	-58.4026351262243	-34.58982124057556
"00024"	-58.39876592914023	-34.591499786918774
"00025"	-58.39516242927893	-34.593041804684866
"00026"	-58.39014461371471	-34.59543112636282
"00027"	-58.398335138975334	-34.59749208552466
"00028"	-58.407270569391294	-34.5953446814613
"00029"	-58.412100645776704	-34.59401532875165
"00030"	-58.40811090673567	-34.60036694903224
"00031"	-58.40104510952757	-34.602124258648246
"00032"	-58.39455964439983	-34.60449926205164
"00033"	-58.40991494525099	-34.60592280321132
"00034"	-58.40128868917679	-34.6072875767246
"00035"	-58.40968271387321	-34.61207315608054
"00036"	-58.40856365333814	-34.617513521271796
"00037"	-58.40293032387926	-34.61370724925329
"00038"	-58.398514008508215	-34.61428708145853
"00039"	-58.39393615342067	-34.61380399853302
"00040"	-58.40958829897135	-34.6250406600475
"00041"	-58.40246566265664	-34.62394440006467
"00042"	-58.39474703059825	-34.62277913416746
"00043"	-58.3977624261569	-34.63187934084563
"00044"	-58.407857495892955	-34.633559417484285
"00045"	-58.40757945870951	-34.64292399913494
"00046"	-58.39687483375658	-34.6397726533597
"00047"	-58.395528723649036	-34.65259760585762
"00048"	-58.38228265761298	-34.63890279222123
"00049"	-58.38049991100369	-34.65149982768831
"00050"	-58.37334799657429	-34.63167838230463
"00051"	-58.37110676966218	-34.64417125845124
"00052"	-58.36468471976677	-34.64198200353812
"00053"	-58.35844909102214	-34.634701359488105
"00054"	-58.35338050898401	-34.625896615403754
"00055"	-58.40944685695072	-34.653998252956086
"00056"	-58.42375503688266	-34.6537412578644
"00057"	-58.42190770756594	-34.644107357856484
"00058"	-58.417883478248875	-34.63529994856549
"00059"	-58.41901317551916	-34.628726318534284
"00060"	-58.420012363469596	-34.62361553041742
"00061"	-58.42577085457716	-34.61702681839282
"00062"	-58.41739189243279	-34.618586289585686
"00063"	-58.41838196517255	-34.61286032655716
"00064"	-58.41979965907893	-34.60653129519226
"00065"	-58.4164323032007	-34.60074145232546
"00066"	-58.42525009059812	-34.600415364551694
"00067"	-58.4279591699599	-34.60725211120908
"00068"	-58.4349597053195	-34.60945676207677
"00069"	-58.43168523905311	-34.62104695340221
"00070"	-58.44267224410335	-34.613448560634914
"00071"	-58.43924016289962	-34.62364569670276
"00072"	-58.45601857910846	-34.608721697751356
"00073"	-58.45175306014233	-34.61643876225003
"00074"	-58.44818374296807	-34.626093889357215
"00075"	-58.447075808665936	-34.63363144481395
"00076"	-58.433919084350016	-34.63094672062044
"00077"	-58.43127891157434	-34.63815978337566
"00078"	-58.44122890030038	-34.64054312242522
"00079"	-58.471244117596164	-34.624588500871496
"00080"	-58.46291642034059	-34.61876428298039
"00081"	-58.46058101503792	-34.62407672103061
"00082"	-58.46809591686005	-34.63226804491882
"00083"	-58.45813551814361	-34.62932413224371
"00084"	-58.464076411454165	-34.63935619521679
"00085"	-58.45648485087792	-34.63576321383395
"00086"	-58.4502384911597	-34.64768079985385
"00087"	-58.447352492075815	-34.66522827085482
"00088"	-58.46337144370763	-34.69185073043623
"00089"	-58.46745122671292	-34.678517292476684
"00090"	-58.48591161499764	-34.672237418964976
"00091"	-58.46989254454676	-34.65613752231931
"00092"	-58.47208205721087	-34.64327452272767
"00093"	-58.47836450392021	-34.64971222805741
"00094"	-58.48692501153541	-34.64526401564707
"00095"	-58.49944687859724	-34.65033521058582
"00096"	-58.48954493583332	-34.657562065951026
"00097"	-58.5012383842508	-34.66645240863153
"00098"	-58.51231299675307	-34.658076206957546
"00099"	-58.519963004610844	-34.65073581490439
"00100"	-58.511679121926925	-34.64339175200207
