Circuito	APTITUD RENOVADORA	AUTODETERMINACIÓN Y LIBERTAD	AUTONOMISTA	DIGNIDAD POPULAR	FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	LA LIBERTAD AVANZA	MOVIMIENTO AL SOCIALISMO	MOVIMIENTO LIBRES DEL SUR	POLÍTICA OBRERA	RENOVADOR FEDERAL	SOCIALISTA AUTÉNTICO	Total
00001	30	211	9	21	31	556	2180	2679	898	21	33	43	8	49	6769
00002	23	158	10	15	28	450	1954	2092	713	20	24	38	10	37	5572
00003	3	12	1	1	9	33	180	1127	344	2	0	4	0	2	1718
00004	0	7	0	1	5	19	138	1014	227	2	0	2	0	3	1418
00005	27	47	9	18	15	371	2405	1240	638	15	70	47	11	32	4945
00006	17	73	3	5	28	189	718	7488	1395	5	15	14	3	28	9981
00007	11	66	5	5	26	171	608	3383	759	9	11	9	1	26	5090
00008	13	99	7	10	22	188	834	2986	709	11	10	12	4	27	4932
00009	19	111	13	8	51	269	1162	3427	1074	15	25	18	9	26	6227
00010	42	167	17	14	49	386	1511	3743	996	22	22	26	8	50	7053
00011	33	184	22	20	40	419	1990	3085	1075	24	29	40	6	34	7001
00012	36	150	16	17	36	460	1872	3024	927	19	32	38	11	52	6690
00013	62	203	18	20	45	518	2128	3408	1049	33	33	51	9	48	7625
00014	18	87	7	6	24	146	828	1419	509	3	13	16	3	23	3102
00015	21	174	5	13	23	392	1665	1951	669	25	34	20	12	36	5040
00016	22	153	11	13	29	393	1682	2185	678	19	28	44	10	46	5313
00017	45	242	14	19	39	587	2396	3163	1014	23	36	47	10	43	7678
00018	37	103	10	19	20	373	1449	1708	652	24	18	29	12	34	4488
00019	37	168	16	25	37	515	2416	2488	996	24	29	49	16	91	6907
00020	10	54	10	4	15	156	805	3076	656	4	15	16	6	15	4842
00021	16	55	6	3	24	166	629	6331	1200	7	15	10	5	31	8498
00022	26	207	12	19	47	486	1520	6755	1330	16	32	19	5	49	10523
00023	25	268	22	14	53	607	2043	8356	1712	26	45	39	7	73	13290
00024	16	149	12	4	35	327	1032	5791	1237	20	19	15	10	33	8700
