circuito_n	APTITUD RENOVADORA	AUTODETERMINACIÓN Y LIBERTAD	AUTONOMISTA	DIGNIDAD POPULAR	FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	LA LIBERTAD AVANZA	MOVIMIENTO AL SOCIALISMO	MOVIMIENTO LIBRES DEL SUR	POLÍTICA OBRERA	RENOVADOR FEDERAL	SOCIALISTA AUTÉNTICO
1	0.443196927	3.117151721	0.132959078	0.310237849	0.457970158	8.213916384	32.20564337	39.5774856	13.26636135	0.310237849	0.48751662	0.635248929	0.118185847	0.723888314
2	0.412778177	2.835606604	0.179468772	0.269203159	0.502512563	8.07609476	35.06819813	37.54486719	12.79612348	0.358937545	0.430725054	0.681981335	0.179468772	0.664034458
3	0.174621653	0.698486612	0.058207218	0.058207218	0.523864959	1.920838184	10.47729919	65.59953434	20.02328289	0.116414435	0	0.232828871	0	0.116414435
4	0	0.493653032	0	0.070521862	0.352609309	1.339915374	9.732016925	71.50916784	16.00846262	0.141043724	0	0.141043724	0	0.211565585
5	0.546006067	0.950455005	0.182002022	0.364004044	0.303336704	7.502527806	48.63498483	25.07583418	12.90192113	0.303336704	1.415571284	0.950455005	0.222446916	0.647118301
6	0.170323615	0.73138964	0.030057109	0.050095181	0.280533013	1.893597836	7.193667969	75.02254283	13.97655546	0.050095181	0.150285543	0.140266506	0.030057109	0.280533013
7	0.21611002	1.296660118	0.098231827	0.098231827	0.510805501	3.359528487	11.94499018	66.46365422	14.91159136	0.176817289	0.21611002	0.176817289	0.019646365	0.510805501
8	0.263584753	2.00729927	0.141930251	0.202757502	0.446066504	3.811841038	16.90997567	60.54339011	14.37550689	0.223033252	0.202757502	0.243309002	0.081103001	0.547445255
9	0.305122852	1.78255982	0.208768267	0.12847278	0.819013971	4.319897222	18.66067127	55.03452706	17.24747069	0.240886462	0.401477437	0.289063755	0.144531877	0.417536534
10	0.59549128	2.367786757	0.241032185	0.198497093	0.694739827	5.472848433	21.42350773	53.06961577	14.12165036	0.311924004	0.311924004	0.368637459	0.113426911	0.708918191
11	0.471361234	2.628195972	0.314240823	0.285673475	0.57134695	5.984859306	28.42451078	44.06513355	15.35494929	0.34280817	0.414226539	0.57134695	0.085702043	0.485644908
12	0.538116592	2.242152466	0.23916293	0.254110613	0.538116592	6.87593423	27.98206278	45.20179372	13.85650224	0.284005979	0.478325859	0.568011958	0.164424514	0.777279522
13	0.813114754	2.662295082	0.236065574	0.262295082	0.590163934	6.793442623	27.90819672	44.69508197	13.75737705	0.432786885	0.432786885	0.668852459	0.118032787	0.629508197
14	0.580270793	2.804642166	0.225660864	0.193423598	0.773694391	4.706640877	26.69245648	45.74468085	16.40876854	0.096711799	0.419084462	0.51579626	0.096711799	0.741457124
15	0.416666667	3.452380952	0.099206349	0.257936508	0.456349206	7.777777778	33.03571429	38.71031746	13.27380952	0.496031746	0.674603175	0.396825397	0.238095238	0.714285714
16	0.414078675	2.879728967	0.207039337	0.244682853	0.545830981	7.396950875	31.65819688	41.12554113	12.76115189	0.357613401	0.527009223	0.82815735	0.18821758	0.865800866
17	0.586090128	3.151862464	0.182339151	0.247460276	0.507944777	7.645220109	31.20604324	41.19562386	13.20656421	0.299557176	0.468872102	0.612138578	0.130242251	0.560041678
18	0.824420677	2.295008913	0.222816399	0.423351159	0.445632799	8.311051693	32.28609626	38.057041	14.52762923	0.534759358	0.401069519	0.646167558	0.267379679	0.757575758
19	0.535688432	2.432315043	0.231649052	0.361951643	0.535688432	7.456203851	34.97900681	36.02142754	14.42015347	0.347473578	0.419863906	0.709425221	0.231649052	1.317503981
20	0.206526229	1.115241636	0.206526229	0.082610492	0.309789343	3.22180917	16.62536142	63.52746799	13.54812061	0.082610492	0.309789343	0.330441966	0.123915737	0.309789343
21	0.188279595	0.647211108	0.070604848	0.035302424	0.282419393	1.9534008	7.401741586	74.49988233	14.12096964	0.082372323	0.17651212	0.117674747	0.058837373	0.364791716
22	0.24707783	1.967119643	0.114035921	0.180556875	0.446640692	4.618454813	14.44455003	64.19272071	12.63898128	0.152047895	0.30409579	0.180556875	0.047514967	0.465646679
23	0.188111362	2.0165538	0.165537998	0.105342363	0.398796087	4.567343868	15.3724605	62.87434161	12.88186607	0.195635816	0.338600451	0.293453725	0.052671181	0.549285177
24	0.183908046	1.712643678	0.137931034	0.045977011	0.402298851	3.75862069	11.86206897	66.56321839	14.21839081	0.229885057	0.218390805	0.172413793	0.114942529	0.379310345
