circuito_n	AUTODETERMINACIÓN Y LIBERTAD	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	LA LIBERTAD AVANZA
1	0.033504776	0.098750918	0.329022777	0.374724467	0.163997061
2	0.033941723	0.103426193	0.350464297	0.349823887	0.1623439
3	0.012114537	0.026982379	0.102422907	0.642621145	0.215859031
4	0.009246088	0.016358464	0.093172119	0.685633001	0.195590327
5	0.014372979	0.077075099	0.482932088	0.247394898	0.178224937
6	0.010063362	0.024878867	0.075288856	0.685706299	0.204062616
7	0.017083027	0.041146216	0.120315944	0.622520206	0.198934607
8	0.02	0.051619048	0.172761905	0.55447619	0.201142857
9	0.021357519	0.053393798	0.191193681	0.518139263	0.21591574
10	0.026082351	0.063815702	0.215808288	0.504832517	0.189461141
11	0.031663639	0.078250714	0.281728523	0.42382559	0.184531534
12	0.027909739	0.086252969	0.281918052	0.430671021	0.173248219
13	0.032588569	0.083076163	0.292803358	0.421552895	0.169979015
14	0.027261462	0.05669145	0.269206939	0.438351921	0.208488228
15	0.037023116	0.092275888	0.330764894	0.36985529	0.170080812
16	0.03014886	0.093273036	0.321085359	0.387224421	0.168268325
17	0.034858934	0.091410658	0.322131661	0.382570533	0.169028213
18	0.031475968	0.081242025	0.336027222	0.362186304	0.189068481
19	0.030657748	0.083333333	0.353121516	0.35326087	0.179626533
20	0.011344922	0.040256176	0.167429094	0.596889296	0.184080512
21	0.010136624	0.027434993	0.07271926	0.686866461	0.202842662
22	0.0227864	0.060016148	0.146407105	0.611823809	0.158966538
23	0.021143305	0.056524525	0.153840678	0.602335018	0.166156475
24	0.018597528	0.04135215	0.121102724	0.6338475	0.185100098
25	0.012780961	0.035147642	0.105663288	0.663728515	0.182679595
26	0.013678721	0.032999915	0.096178507	0.65572369	0.201419167
27	0.019819397	0.060513662	0.165239826	0.579922599	0.174504515
28	0.024047445	0.071411163	0.20009749	0.537655374	0.166788529
29	0.02481966	0.07727106	0.195745201	0.548600073	0.153564005
30	0.028433324	0.077907307	0.216377595	0.493033836	0.184247939
31	0.027827192	0.07407878	0.223252859	0.49339263	0.181448539
32	0.032207496	0.084794072	0.250249394	0.460738207	0.172010831
33	0.028408163	0.08522449	0.256489796	0.440326531	0.18955102
34	0.030908894	0.086026154	0.259267265	0.444288339	0.179509348
35	0.030626781	0.096272555	0.289055081	0.403015195	0.181030389
36	0.032207521	0.094011142	0.329561281	0.353238162	0.190981894
37	0.028313334	0.088445463	0.302413375	0.404341378	0.17648645
38	0.032058032	0.088452088	0.293904294	0.414648415	0.170937171
39	0.032076339	0.088066222	0.282823638	0.415727754	0.181306047
40	0.029761905	0.088269454	0.289488966	0.430023229	0.162456446
41	0.033028376	0.091952241	0.314079702	0.392463948	0.168475733
