screen_name	date	fav	retweet	text	url	hashtags
jmcapitanich	Fri Sep 10 16:42:06 +0000 2021	3	2	"Una extraordinaria inversión para impulsar la obra más importante de nuestra provincia que genera empleo y garantiza una mejor calidad de vida para todas y todos.

#VamosChaco https://t.co/odBvaZFldA"	https://twitter.com/jmcapitanich/status/1436369401939378176	[{'text': 'VamosChaco', 'indices': [164, 175]}]
jmcapitanich	Fri Sep 10 16:41:15 +0000 2021	3	1	👉🏻 Estamos trabajando para llegar al sudoeste con abastecimiento en forma regular a partir de octubre. En los próximos 12 meses observaremos el proceso de culminación de la obra en todos sus hitos y componentes y la capacidad para llegar a cada hogar con provision de agua potable https://t.co/OBJb1uu3Qr	https://twitter.com/jmcapitanich/status/1436369188571041794	[]
jmcapitanich	Fri Sep 10 16:39:52 +0000 2021	6	3	💦 El segundo acueducto del interior llegará a 26 localidades con 512 kilometros de extensión y beneficiando a 500.000 personas. Agua normal, habitual y regular que permitirá la universalización de las redes de agua potable en cada domicilio. https://t.co/SwAFqB3IMs	https://twitter.com/jmcapitanich/status/1436368840426983424	[]
jmcapitanich	Fri Sep 10 16:38:54 +0000 2021	9	4	"Observamos el avance de la toma de agua del Río Paraná para el segundo acueducto del interior. 

💧 Actualmente está finalizada la estructura principal y se están instalando las bombas que permitirán contar con una capacidad de 3000 m3 por hora cada una. https://t.co/McXm8oOrWd"	https://twitter.com/jmcapitanich/status/1436368595781668887	[]
jmcapitanich	Fri Sep 10 14:56:29 +0000 2021	7	3	"Inversiones extraordinarias que generan empleo, transforman la calidad de vida y garantizan derechos de miles de chaqueños y chaqueñas.

#VamosChaco https://t.co/UX3Zhh9laY"	https://twitter.com/jmcapitanich/status/1436342820768468995	[{'text': 'VamosChaco', 'indices': [137, 148]}]
jmcapitanich	Fri Sep 10 14:55:46 +0000 2021	6	1	✅ El segundo acueducto del interior implicará llegar a 26 localidades con 512 kilómetros de extensión y este año llegamos a 20 acueductos en toda la provincia, una reivindicación histórica. https://t.co/fddgcK58xK	https://twitter.com/jmcapitanich/status/1436342643345219630	[]
jmcapitanich	Fri Sep 10 14:54:43 +0000 2021	3	0	👉🏻 Una inversión de casi 165 millones de pesos a través del Programa Federal de Saneamiento de @Enohsa, con 1400 conexiones domiciliarias, 20.000 metros de cañería y alrededor de 150 empleos directos e indirectos, un impacto extraordinario para la zona. https://t.co/fuu7s9R5rQ	https://twitter.com/jmcapitanich/status/1436342375903813654	[]
jmcapitanich	Fri Sep 10 14:52:32 +0000 2021	19	7	Realizamos la apertura de sobres para el reacondicionamiento del centro de distribución y la construcción de redes maestras y redes domiciliarias que van a garantizar el abastecimiento de agua potable en Los Frentones. https://t.co/uDM9wxbKvy	https://twitter.com/jmcapitanich/status/1436341827892830219	[]
jmcapitanich	Fri Sep 10 13:02:39 +0000 2021	4	2	"🔹️ Construcción de SUM de Charata y San Martín para mejorar la calidad de atención.

El desenvolvimiento autónomo e independiente del Poder Judicial en la provincia requiere la coordinación interinstitucional para cumplir el objetivo del bien común.

#VamosChaco"	https://twitter.com/jmcapitanich/status/1436314175274430485	[{'text': 'VamosChaco', 'indices': [251, 262]}]
jmcapitanich	Fri Sep 10 13:02:11 +0000 2021	4	1	"Dialogamos sobre:

🔹️ Adquisición de equipamiento del laboratorio de toxicología para la realización de las pericias correspondientes.

🔹️ Adquisición de secuenciador de ADN.

🔹️ Implementación de la Cámara Contecioso Administrativo de Sáenz Peña."	https://twitter.com/jmcapitanich/status/1436314059310313498	[]
jmcapitanich	Fri Sep 10 12:39:02 +0000 2021	11	4	Mantuvimos una reunión con Rolando Toledo, presidente del Superior Tribunal de Justicia, para trabajar en una agenda que permitirá fortalecer el funcionamiento de la institución en toda la provincia. https://t.co/F1uVk3tfdX	https://twitter.com/jmcapitanich/status/1436308233124294656	[]
jmcapitanich	Fri Sep 10 10:00:30 +0000 2021	71	20	"El domingo es un día muy importante para Chaco. Tenemos la oportunidad de elegir los representantes que defiendan los intereses y el futuro de Chaco.

Acompañame a #DefenderChaco a través de la #Lista501R.

Votá con ganas, votá con ilusión. 
Votá por Chaco.

#DefenderChaco❤️ https://t.co/wNIsf4FN4U"	https://twitter.com/jmcapitanich/status/1436268337722503171	[{'text': 'DefenderChaco', 'indices': [164, 178]}, {'text': 'Lista501R', 'indices': [194, 204]}, {'text': 'DefenderChaco', 'indices': [259, 273]}]
jmcapitanich	Thu Sep 09 15:07:08 +0000 2021	44	13	"Este 12 de septiembre, #YoDefiendoChaco con el corazón ❤️

#Lista501R - 17 de Octubre 
#FrenteDeTod☀️s

♥️♥️♥️♥️

Por lo que hicimos, y por lo que nos falta por hacer. El futuro es nuestro! Hagamoslo juntos! 

Vamos tod☀️s a defender al Chaco con el corazón!! https://t.co/DN0zXg0KwK"	https://twitter.com/jmcapitanich/status/1435983116276015107	[{'text': 'YoDefiendoChaco', 'indices': [23, 39]}, {'text': 'Lista501R', 'indices': [59, 69]}, {'text': 'FrenteDeTod', 'indices': [87, 99]}]
jmcapitanich	Thu Sep 09 13:42:08 +0000 2021	10	5	"Tenemos el desafío en los próximos años de generar más obras de infraestructura para el desarrollo, más inversiones, más empleos de calidad y mayor unidad.

Entre todos y todas vamos a defender al Chaco y construir futuro.

#Lista501R
#FrenteDeTodosChaco https://t.co/ZpbP4kuUia"	https://twitter.com/jmcapitanich/status/1435961725858328577	[{'text': 'Lista501R', 'indices': [224, 234]}, {'text': 'FrenteDeTodosChaco', 'indices': [235, 254]}]
jmcapitanich	Thu Sep 09 13:37:22 +0000 2021	17	4	Junto a las fuerzas de seguridad, mantuvimos un encuentro en la asociación mutual del Circulo de Oficiales de la Provincia del Chaco donde les expresé el agradecimiento profundo que tengo hacia ellos por el trabajo que han hecho. https://t.co/2PC5FF4ZWK	https://twitter.com/jmcapitanich/status/1435960523720364034	[]
jmcapitanich	Thu Sep 09 12:40:08 +0000 2021	9	4	Hoy tenemos resultados fiscales positivos, logramos reestructurar deudas, cancelar deuda flotante, promover inversión pública, fomentar inversión privada, propender a la recuperación económica e impulsar la generación de empleos de calidad para más chaqueños y chaqueñas. https://t.co/uZYu1t777x	https://twitter.com/jmcapitanich/status/1435946119876562952	[]
jmcapitanich	Thu Sep 09 12:31:55 +0000 2021	7	3	👉 Con respecto al pago de seguros teníamos identificado una deuda de periodos anteriores hasta el año 2019. Ya se destinaron recursos para aproximadamente 150 millones de pesos, ahora se refuerza y para el mes de noviembre se cancelaría totalmente la deuda en materia de seguros.	https://twitter.com/jmcapitanich/status/1435944051598053380	[]
jmcapitanich	Thu Sep 09 12:30:25 +0000 2021	4	3	📌 También observamos que durante los últimos 12 meses el pago ha sido regular respecto a la prestación de servicio, certificación y pago regular. Y al mismo tiempo con una negociación adecuada que permitió sanear deudas preexistentes.	https://twitter.com/jmcapitanich/status/1435943674475597824	[]
